"Bestaande koopwoningen; verkoopprijzen prijsindex 2015=100 1995-2023"
""
"";"Onderwerp"
"";"Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen";"Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode";"Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder";"Aantal verkochte woningen|Aantal verkochte woningen";"Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode";"Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder";"Gemiddelde verkoopprijs";"Totale waarde verkoopprijzen"
"Perioden";"2015=100";"%";"%";"aantal";"%";"%";"euro";"mln euro"
"2023 januari";"183,3";"1,5";"1,1";"13126";"-38,5";"-6,6";"424681";"5574"
"2023 februari";"180,6";"-1,5";"-0,8";"11858";"-9,7";"-15,5";"410189";"4864"
"2023 maart";"179,6";"-0,5";"-2,3";"15453";"30,3";"-2,4";"415141";"6415"
"2023 april";"177,7";"-1,1";"-4,4";"12816";"-17,1";"-19,8";"401374";"5144"
"2023 mei";"177,6";"-0,1";"-5,6";"15099";"17,8";"-4,1";"403913";"6099"
"2023 juni";"178,0";"0,2";"-5,5";"16585";"9,8";"5,9";"412943";"6849"
"2023 juli";"178,9";"0,5";"-5,5";"14925";"-10,0";"-9,1";"413917";"6178"
"2023 augustus";"180,0";"0,6";"-4,8";"15934";"6,8";"-2,9";"416595";"6638"
"2023 september";"181,0";"0,6";"-3,5";"16089";"1,0";"-8,7";"422175";"6792"
"2023 oktober";"182,4";"0,7";"-2,3";"15705";"-2,4";"5,7";"424521";"6667"
"2023 november";"183,2";"0,5";"-0,9";"15248";"-2,9";"0,7";"421284";"6424"
"2023 december";"183,5";"0,2";"1,6";"19565";"28,3";"-8,3";"422372";"8264"
"2023";"180,5";"-2,8";"-2,8";"182403";"-5,5";"-5,5";"416153";"75908"
"Bron: Centraal Bureau voor de Statistiek, Kadaster"
